index,Unnamed: 0,title,soup
369,370,this is what you came for,calvinharris dance pop
370,371,million reasons,ladygaga dance pop
371,372,needed me,rihanna barbadian pop
372,373,7 years,lukasgraham danish pop
373,374,can't stop the feeling!,justintimberlake dance pop
374,375,work from home,fifthharmony dance pop
375,376,scars to your beautiful,alessiacara canadian contemporary r&b
376,377,like i'm gonna lose you,meghantrainor dance pop
377,378,work,rihanna barbadian pop
379,380,"me, myself & i",g-eazy hip hop
380,381,i took a pill in ibiza,mikeposner dance pop
381,382,dangerous woman,arianagrande dance pop
382,383,starving,haileesteinfeld dance pop
383,384,shout out to my ex,littlemix dance pop
384,385,electric love,børns electropop
385,386,confident,demilovato dance pop
386,387,too good,drake canadian hip hop
387,388,roses,thechainsmokers electropop
388,389,cold water,majorlazer dance pop
389,390,me too,meghantrainor dance pop
390,391,light it up [remix],majorlazer dance pop
391,392,ain't your mama,jenniferlopez dance pop
392,393,close,nickjonas dance pop
393,394,toothbrush,dnce dance pop
394,395,all we know,thechainsmokers electropop
395,396,final song,mø dance pop
397,398,hands to myself,selenagomez dance pop
398,399,all i ask,adele british soul
399,400,just like fire,p!nk dance pop
400,401,no,meghantrainor dance pop
401,402,kill em with kindness,selenagomez dance pop
402,403,cool girl,tovelo dance pop
405,406,perfect illusion,ladygaga dance pop
406,407,pillowtalk,zayn dance pop
407,408,out of the woods,taylorswift pop
408,409,rise,katyperry dance pop
409,410,wherever i go,onerepublic dance pop
410,411,body say,demilovato dance pop
411,412,don't be a fool,shawnmendes canadian pop
412,413,like i would,zayn dance pop
413,414,cheap thrills,sia australian dance
414,415,i got you,beberexha dance pop
415,416,run away with me,carlyraejepsen canadian pop
416,417,cruel,snakehips dance pop
417,418,send my love,adele british soul
443,444,shape of you,edsheeran pop
444,445,closer,thechainsmokers electropop
445,446,starboy,theweeknd canadian contemporary r&b
446,447,treat you better,shawnmendes canadian pop
447,448,that's what i like,brunomars pop
449,450,i feel it coming,theweeknd canadian contemporary r&b
450,451,mercy,shawnmendes canadian pop
451,452,side to side,arianagrande dance pop
452,453,stay,zedd complextro
453,454,it ain't me,kygo edm
454,455,malibu,mileycyrus dance pop
455,456,something just like this,thechainsmokers electropop
456,457,rockabye,cleanbandit dance pop
457,458,i dont wanna live forever,zayn dance pop
458,459,my way,calvinharris dance pop
459,460,i'm the one,djkhaled dance pop
460,461,praying,kesha dance pop
461,462,despacito,luisfonsi latin
462,463,the greatest,sia australian dance
463,464,there for you,martingarrix big room
464,465,paris,thechainsmokers electropop
465,466,crying in the club,camilacabello dance pop
466,467,mama,jonasblue dance pop
467,468,slide,calvinharris dance pop
468,469,swish swish,katyperry dance pop
469,470,chained to the rhythm,katyperry dance pop
470,471,cold,maroon5 pop
471,472,love,lanadelrey art pop
472,473,reggaeton lento,cnco boy band
474,475,first time,kygo edm
475,476,the cure,ladygaga dance pop
476,477,how far i'll go,alessiacara canadian contemporary r&b
477,478,bodak yellow,cardib pop
478,479,rich love,onerepublic dance pop
479,480,tired,alanwalker electro house
480,481,came here for love,sigala dance pop
481,482,24k magic,brunomars pop
482,483,strip that down,liampayne dance pop
483,484,cut to the feeling,carlyraejepsen canadian pop
484,485,ok,robinschulz dance pop
485,486,bon appetit,katyperry dance pop
486,487,summer bummer,lanadelrey art pop
487,488,get low,zedd complextro
488,489,kissing strangers,dnce dance pop
489,490,slow hands,niallhoran dance pop
490,491,younger now,mileycyrus dance pop
491,492,body moves,dnce dance pop
508,509,one kiss,calvinharris dance pop
509,510,havana,camilacabello dance pop
511,512,new rules,dualipa dance pop
512,513,there's nothing holdin' me back,shawnmendes canadian pop
513,514,no tears left to cry,arianagrande dance pop
514,515,idgaf,dualipa dance pop
515,516,in my blood,shawnmendes canadian pop
516,517,wolves,selenagomez dance pop
517,518,dusk till dawn,zayn dance pop
518,519,attention,charlieputh dance pop
519,520,electricity,silkcity edm
520,521,love on the brain,rihanna barbadian pop
521,522,let me go,haileesteinfeld dance pop
522,523,silence,marshmello brostep
523,524,sorry not sorry,demilovato dance pop
